Supplemental Table 1: Secreted Proteins Across Multi-Omics Analyses				
Gene	Correlation with CD8 T cell signature	Down in multiple tumor types	High expression in Fibroblast	Up in ICB responders
IGKV2D-29	Yes	No	No	No
IGLC7	Yes	No	No	No
IGLV1-36	Yes	No	No	No
IGLV10-54	Yes	No	No	No
IL15RA	Yes	No	No	Yes
IL27	Yes	No	No	Yes
IL32	Yes	No	No	Yes
LYZ	Yes	No	No	Yes
APOC2	Yes	No	No	No
CD40	Yes	No	No	Yes
CETP	Yes	No	No	Yes
CXCL13	Yes	No	No	No
CXCL16	Yes	No	No	Yes
IGHV1-3	Yes	No	No	Yes
IGHV3-20	Yes	No	No	Yes
IGHV4-4	Yes	No	No	No
IGKV1-12	Yes	No	No	Yes
IGKV2D-40	Yes	No	No	Yes
IL12B	Yes	No	No	No
OTOA	Yes	No	No	Yes
VMO1	Yes	No	No	Yes
CCL22	Yes	No	No	No
CHIT1	Yes	No	No	Yes
CTSB	Yes	No	No	Yes
FAM20A	Yes	No	No	Yes
IFI35	Yes	No	No	No
IGHV1-58	Yes	No	No	No
IGKV1D-13	Yes	No	No	No
IGKV1D-8	Yes	No	No	No
IGKV2D-30	Yes	No	No	No
IGKV3D-15	Yes	No	No	Yes
IGKV5-2	Yes	No	No	Yes
IGKV6D-21	Yes	No	No	No
IGLV4-60	Yes	No	No	Yes
MMP25	Yes	No	No	No
OLFML2B	Yes	No	No	Yes
S100A8	Yes	No	No	No
SECTM1	Yes	No	No	Yes
SPOCK2	Yes	No	No	No
TCN2	Yes	No	No	Yes
ABHD15	No	No	No	Yes
ACRBP	No	No	No	Yes
ADAM9	No	No	No	Yes
ADAMTS10	No	No	No	Yes
ADAMTS6	No	No	No	Yes
ADAMTSL5	No	No	No	Yes
ADM2	No	No	No	Yes
AGGF1	No	No	No	Yes
AGRP	No	No	No	Yes
AHSG	No	No	No	Yes
ANGPTL6	No	No	No	Yes
APLN	No	No	No	Yes
APOL4	No	No	No	Yes
BGN	No	No	No	Yes
C17orf99	No	No	No	Yes
C1RL	No	No	No	Yes
C2	No	No	No	Yes
C4A	No	No	No	Yes
C4B	No	No	No	Yes
C6orf120	No	No	No	Yes
C8G	No	No	No	Yes
C9	No	No	No	Yes
CALCA	No	No	No	Yes
CBLN3	No	No	No	Yes
CCL24	No	No	No	Yes
CELA2B	No	No	No	Yes
CES5A	No	No	No	Yes
CFB	No	No	No	Yes
CHI3L1	No	No	No	Yes
CHRD	No	No	No	Yes
CILP2	No	No	No	Yes
COL1A1	No	No	No	Yes
COL1A2	No	No	No	Yes
COL22A1	No	No	No	Yes
COL6A1	No	No	No	Yes
COL8A2	No	No	No	Yes
CPA5	No	No	No	Yes
CPA6	No	No	No	Yes
CREG1	No	No	No	Yes
CSF2	No	No	No	Yes
CSN3	No	No	No	Yes
CST3	No	No	No	Yes
CTRB2	No	No	No	Yes
CTRL	No	No	No	Yes
CXCL1	No	No	No	Yes
CXCL2	No	No	No	Yes
CXCL3	No	No	No	Yes
DKK2	No	No	No	Yes
DKK3	No	No	No	Yes
EFNA4	No	No	No	Yes
EMID1	No	No	No	Yes
EMILIN2	No	No	No	Yes
ENPP2	No	No	No	Yes
ERAP1	No	No	No	Yes
EYS	No	No	No	Yes
F13B	No	No	No	Yes
FDCSP	No	No	No	Yes
FGF5	No	No	No	Yes
FN1	No	No	No	Yes
FNDC1	No	No	No	Yes
FNDC7	No	No	No	Yes
FSTL1	No	No	No	Yes
GAS6	No	No	No	Yes
GRN	No	No	No	Yes
HMSD	No	No	No	Yes
HPSE	No	No	No	Yes
IGFBP1	No	No	No	Yes
IGFBP7	No	No	No	Yes
IGHE	No	No	No	Yes
IGHJ1	No	No	No	Yes
IGHV1-45	No	No	No	Yes
IGHV3-35	No	No	No	Yes
IGHV3-64	No	No	No	Yes
IGHV7-81	No	No	No	Yes
IGKV1D-12	No	No	No	Yes
IGKV1D-43	No	No	No	Yes
IGKV2-40	No	No	No	Yes
IGKV2D-24	No	No	No	Yes
IGKV2D-26	No	No	No	Yes
IGKV3-7	No	No	No	Yes
IGLJ1	No	No	No	Yes
IGLV1-50	No	No	No	Yes
IGLV3-12	No	No	No	Yes
IGLV3-16	No	No	No	Yes
IGLV3-22	No	No	No	Yes
IGLV5-52	No	No	No	Yes
IL12A	No	No	No	Yes
IL17RA	No	No	No	Yes
IL18	No	No	No	Yes
IL22RA2	No	No	No	Yes
IL23A	No	No	No	Yes
IL4R	No	No	No	Yes
IMPG1	No	No	No	Yes
INSL3	No	No	No	Yes
ITIH4	No	No	No	Yes
ITM2B	No	No	No	Yes
KIR2DS4	No	No	No	Yes
KNG1	No	No	No	Yes
LCN12	No	No	No	Yes
LECT2	No	No	No	Yes
LIPC	No	No	No	Yes
LRG1	No	No	No	Yes
LRRC17	No	No	No	Yes
LTBP1	No	No	No	Yes
MAN2B2	No	No	No	Yes
MEGF6	No	No	No	Yes
MGAT4A	No	No	No	Yes
MINPP1	No	No	No	Yes
MMP12	No	No	No	Yes
MMP8	No	No	No	Yes
MUC6	No	No	No	Yes
NELL2	No	No	No	Yes
NETO1	No	No	No	Yes
NOG	No	No	No	Yes
NPB	No	No	No	Yes
NTN1	No	No	No	Yes
OLFM4	No	No	No	Yes
ORM2	No	No	No	Yes
OTOGL	No	No	No	Yes
PAPLN	No	No	No	Yes
PCDH12	No	No	No	Yes
PCSK6	No	No	No	Yes
PDGFB	No	No	No	Yes
PGLYRP2	No	No	No	Yes
PLA2G2C	No	No	No	Yes
PLAU	No	No	No	Yes
PNLIPRP1	No	No	No	Yes
PROS1	No	No	No	Yes
PXDN	No	No	No	Yes
REG4	No	No	No	Yes
RNASET2	No	No	No	Yes
SAA1	No	No	No	Yes
SCG2	No	No	No	Yes
SCGB1A1	No	No	No	Yes
SCPEP1	No	No	No	Yes
SERPINA1	No	No	No	Yes
SERPINA3	No	No	No	Yes
SMOC1	No	No	No	Yes
SMPDL3A	No	No	No	Yes
SMR3B	No	No	No	Yes
SPARC	No	No	No	Yes
SPX	No	No	No	Yes
STC2	No	No	No	Yes
SULF2	No	No	No	Yes
TGFB1	No	No	No	Yes
TIMP1	No	No	No	Yes
TNF	No	No	No	Yes
TNFSF11	No	No	No	Yes
TNFSF13	No	No	No	Yes
TOR2A	No	No	No	Yes
UCN2	No	No	No	Yes
ULBP2	No	No	No	Yes
VEGFC	No	No	No	Yes
VTN	No	No	No	Yes
WNT5B	No	No	No	Yes
XCL1	No	No	No	Yes
FOLR2	Yes	Yes	No	No
MPEG1	Yes	Yes	No	No
C1S	Yes	Yes	No	Yes
CFP	Yes	Yes	No	Yes
FCN1	Yes	Yes	No	No
LILRA5	Yes	Yes	No	No
SRGN	Yes	Yes	No	No
C3	Yes	Yes	No	No
CCL2	Yes	Yes	No	No
FGL2	Yes	Yes	No	Yes
SERPING1	Yes	Yes	No	No
A2M	Yes	Yes	No	No
F13A1	Yes	Yes	No	No
OLFML3	Yes	Yes	No	No
CXCL12	Yes	Yes	No	No
CCL21	Yes	Yes	No	No
HGF	Yes	Yes	No	No
TNFSF12	Yes	Yes	No	Yes
ABI3BP	Yes	Yes	No	Yes
CCL23	Yes	Yes	No	No
MFAP4	Yes	Yes	No	No
PTGDS	Yes	Yes	No	Yes
RARRES2	Yes	Yes	No	Yes
RNASE1	Yes	Yes	No	Yes
AADACL2	No	Yes	No	No
ADAMTS1	No	Yes	No	No
ADAMTS8	No	Yes	No	No
ADAMTSL1	No	Yes	No	Yes
ADAMTSL3	No	Yes	No	No
ADAMTSL4	No	Yes	No	Yes
ADIPOQ	No	Yes	No	No
ANG	No	Yes	No	No
ANGPT1	No	Yes	No	No
ANGPT4	No	Yes	No	No
ANGPTL1	No	Yes	No	No
ANGPTL5	No	Yes	No	No
ANGPTL7	No	Yes	No	No
APOD	No	Yes	No	No
ART4	No	Yes	No	No
BCHE	No	Yes	No	No
BMP5	No	Yes	No	No
BMP6	No	Yes	No	No
BMPER	No	Yes	No	No
